date,event_count
2024-11-17,5367
2024-11-18,483
2024-11-19,246
2024-11-20,697
2024-11-21,2295
2024-11-22,420
2024-11-23,207
2024-11-24,246
2024-11-25,3746
2024-11-26,2503
2024-11-27,2366
2024-11-28,245
2024-11-29,6208
2024-11-30,35077
2024-12-01,11265
2024-12-02,1982
2024-12-03,1373
2024-12-04,7055
2024-12-05,2621
2024-12-06,1300
2024-12-07,1182
2024-12-08,1134
2024-12-09,302
2024-12-10,325
2024-12-11,253
2024-12-12,1817
2024-12-13,728
2024-12-14,2635
2024-12-15,3004
2024-12-16,96705
2024-12-17,17860
2024-12-18,4012
2024-12-19,1260
2024-12-20,17073
2024-12-21,2267
2024-12-22,822
2024-12-23,1110
2024-12-24,690
2024-12-25,1189
2024-12-26,376
2024-12-27,236
2024-12-28,48
2024-12-29,58
2024-12-30,65
2024-12-31,197
2025-01-01,113
2025-01-02,250
2025-01-03,33
2025-01-04,56
2025-01-05,31
2025-01-06,118
2025-01-07,60
2025-01-08,54
2025-01-09,47
2025-01-10,8501
2025-01-11,276
2025-01-12,108
2025-01-13,184
2025-01-14,122
2025-01-15,86
2025-01-16,1704
2025-01-17,235
2025-01-18,110
2025-01-19,43
2025-01-20,92260
2025-01-21,16164
2025-01-22,17991
2025-01-23,3138
2025-01-24,2851
2025-01-25,20
2025-01-26,11
2025-01-27,65
2025-01-28,62
2025-01-29,51
2025-01-30,50
2025-01-31,150
2025-02-01,63
2025-02-02,57
2025-02-03,99
2025-02-04,112
2025-02-05,974
2025-02-06,229
2025-02-07,606
2025-02-08,335
2025-02-09,128
2025-02-10,282
2025-02-11,262
2025-02-12,246
2025-02-13,2187
2025-02-14,2165
2025-02-15,306
2025-02-16,112
2025-02-17,105495
2025-02-18,18548
2025-02-19,1516
2025-02-20,3726
2025-02-21,685
2025-02-22,302
2025-02-23,257
2025-02-24,250
2025-02-25,311
2025-02-26,704
2025-02-27,289
2025-02-28,5282
2025-03-01,533
2025-03-02,2462
2025-03-03,842
2025-03-04,357
2025-03-05,311
2025-03-06,382
2025-03-07,4858
2025-03-08,19837
2025-03-09,1666
2025-03-10,1832
2025-03-11,1657
2025-03-12,2044
2025-03-13,1437
2025-03-14,1239
2025-03-15,877
2025-03-16,841
2025-03-17,84719
2025-03-18,9618
2025-03-19,55422
2025-03-20,14202
2025-03-21,3949
2025-03-22,12868
2025-03-23,1581
2025-03-24,687
2025-03-25,459
2025-03-26,500
2025-03-27,478
2025-03-28,1732
2025-03-29,513
2025-03-30,251
2025-03-31,627
2025-04-01,158
2025-04-02,86
2025-04-03,33
2025-04-04,52
2025-04-05,41
2025-04-06,20
2025-04-07,43
2025-04-08,42
2025-04-09,42
2025-04-10,58
2025-04-11,36
2025-04-12,14
2025-04-13,15
2025-04-14,66
2025-04-15,82
2025-04-16,83098
2025-04-17,29167
2025-04-18,4022
2025-04-19,392
2025-04-20,546
2025-04-21,3767
2025-04-22,2921
2025-04-23,597
2025-04-24,294
2025-04-25,430
2025-04-26,447
2025-04-27,398
2025-04-28,307
2025-04-29,308
2025-04-30,259
2025-05-01,40
2025-05-02,54
2025-05-03,34
2025-05-04,27
2025-05-05,59
2025-05-06,80
2025-05-07,56
2025-05-08,40
2025-05-09,103
2025-05-10,19
2025-05-11,16
2025-05-12,159
2025-05-13,1180
2025-05-14,342
2025-05-15,213
2025-05-16,102
2025-05-17,8570
2025-05-18,1427
2025-05-19,654
2025-05-20,670
2025-05-21,353
2025-05-22,729
2025-05-23,328
2025-05-24,188
2025-05-25,232
2025-05-26,283
2025-05-27,284
2025-05-28,1942
2025-05-29,506
2025-05-30,241
2025-05-31,247
2025-06-01,47
2025-06-02,79
2025-06-03,81
2025-06-04,56
2025-06-05,56
2025-06-06,135
2025-06-07,31
2025-06-08,24
2025-06-09,58
2025-06-10,257
2025-06-11,175
2025-06-12,117
2025-06-13,136
2025-06-14,52
2025-06-15,21
2025-06-16,107
2025-06-17,174
2025-06-18,78983
2025-06-19,14944
2025-06-20,3695
2025-06-21,2204
2025-06-22,4118
2025-06-23,468
2025-06-24,247
2025-06-25,857
2025-06-26,571
2025-06-27,289
2025-06-28,208
2025-06-29,159
2025-06-30,1256
2025-07-01,672
2025-07-02,837
2025-07-03,503
2025-07-04,150
2025-07-05,51
2025-07-06,864
2025-07-07,205
2025-07-08,102
2025-07-09,220
2025-07-10,68
2025-07-11,615
2025-07-12,235
2025-07-13,87
2025-07-14,691
2025-07-15,510
2025-07-16,6170
2025-07-17,898
2025-07-18,60370
2025-07-19,47491
2025-07-20,3873
2025-07-21,1904
2025-07-22,1418
2025-07-23,1530
2025-07-24,548
2025-07-25,424
2025-07-26,13805
2025-07-27,1514
2025-07-28,1646
2025-07-29,605
2025-07-30,1856
2025-07-31,718
2025-08-01,362
2025-08-02,30
2025-08-03,29
2025-08-04,79
2025-08-05,120
2025-08-06,82
2025-08-07,4258
2025-08-08,486
2025-08-09,138
2025-08-10,106
2025-08-11,116
2025-08-12,121
2025-08-13,83457
2025-08-14,17290
2025-08-15,5182
2025-08-16,2699
2025-08-17,1124
2025-08-18,550
2025-08-19,850
2025-08-20,812
2025-08-21,626
2025-08-22,605
2025-08-23,388
2025-08-24,371
2025-08-25,415
2025-08-26,407
2025-08-27,280
2025-08-28,221
2025-08-29,302
2025-08-30,195
2025-08-31,89
2025-09-01,38909
2025-09-02,17265
2025-09-03,7940
2025-09-04,4276
2025-09-05,3544
2025-09-06,3048
2025-09-07,2586
2025-09-08,2155
2025-09-09,1731
2025-09-10,3552
2025-09-11,7412
2025-09-12,2492
2025-09-13,2473
2025-09-14,1556
2025-09-15,67142
2025-09-16,14436
2025-09-17,1931
2025-09-18,9684
2025-09-19,6123
2025-09-20,4832
2025-09-21,903
2025-09-22,600
2025-09-23,1580
2025-09-24,1870
2025-09-25,819
2025-09-26,4191
2025-09-27,1645
2025-09-28,1060
2025-09-29,508
2025-09-30,480
2025-10-01,115
2025-10-02,137
2025-10-03,66
2025-10-04,4562
2025-10-05,563
2025-10-06,217
2025-10-07,145
2025-10-08,93
2025-10-09,103
2025-10-10,39
2025-10-11,28
2025-10-12,21
2025-10-13,72936
2025-10-14,10464
2025-10-15,400
2025-10-16,216
2025-10-17,140
