NO,売上伝票日付,直送指定,委託区分,見積番号,得意先コード,得意先名,発送先コード,発送先名,自社担当者コード,請求得意先コード,得意先名_1,随時請求区分,請求予定日,請求書発行日,請求書発行済み,請求先送月数,回収日締切,発送予定日,広告企画区分,商品コード,数量,単価,金額
55,2017/3/7,0,0,,ｗH-2901,(株)DX広島センター,,,,ｗH-2901,(株)DX広島センター,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,10,241,"2,518"
56,2017/3/7,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102041,4,242,"1,020"
57,2017/3/7,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102040,6,212,"1,262"
58,2017/3/7,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,8,240,"1,867"
59,2017/3/7,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,6,212,"1,207"
60,2017/3/7,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102011,4,329,"1,230"
61,2017/3/7,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102027,2,204,356
62,2017/3/7,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102012,3,273,746
63,2017/3/8,0,0,,ｗK-002901,増田郷,,,,ｗK-002901,増田郷,1,2017/3/8,,0,0,2017/4/7,2017/4/4,,W100000,0,0,864
64,2017/3/8,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,6,212,"1,299"
65,2017/3/8,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,6,240,"1,468"
66,2017/3/8,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,9,202,"1,734"
67,2017/3/8,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,10,211,"2,042"
68,2017/3/8,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102005,5,344,"1,735"
69,2017/3/8,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102027,4,204,827
70,2017/3/8,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,8,211,"1,730"
71,2017/3/9,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102042,4,240,"1,078"
72,2017/3/9,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102041,3,242,778
73,2017/3/9,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102004,24,98,"2,340"
74,2017/3/9,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102015,4,336,"1,277"
75,2017/3/9,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102041,3,212,652
76,2017/3/10,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102027,3,232,784
77,2017/3/10,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102040,3,212,674
78,2017/3/10,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,6,212,"1,266"
79,2017/3/10,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,6,240,"1,382"
80,2017/3/10,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,5,202,"1,002"
81,2017/3/10,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102011,3,329,"1,086"
82,2017/3/10,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,14,211,"2,975"
83,2017/3/10,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,11,177,"1,914"
84,2017/3/10,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,6,186,"1,137"
85,2017/3/11,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,6,240,"1,352"
86,2017/3/11,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,7,240,"1,754"
87,2017/3/11,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102011,3,329,842
88,2017/3/11,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,14,211,"2,938"
89,2017/3/11,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102013,3,251,767
90,2017/3/12,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102042,4,240,883
91,2017/3/12,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102027,3,232,607
92,2017/3/12,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102040,6,212,"1,345"
93,2017/3/12,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102004,41,98,"3,967"
94,2017/3/12,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,9,240,"2,044"
95,2017/3/12,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,10,202,"2,113"
96,2017/3/12,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102005,10,393,"3,958"
97,2017/3/12,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,5,212,"1,075"
98,2017/3/12,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102015,4,336,"1,330"
99,2017/3/12,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102027,5,204,"1,010"
100,2017/3/12,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,8,177,"1,466"
101,2017/3/12,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,7,186,"1,305"
102,2017/3/12,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102041,7,212,"1,410"
103,2017/3/12,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,4,211,830
104,2017/3/12,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102007,1,468,425
105,2017/3/12,0,0,,ｗH-1501,㈱広島玉の輿,,,,ｗH-1501,㈱広島玉の輿,0,2017/3/10,,0,0,2017/4/9,2017/4/6,,W100000,0,0,0
106,2017/3/13,0,0,,ｗH-2901,(株)DX広島センター,,,,ｗH-2901,(株)DX広島センター,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,8,241,"1,948"
107,2017/3/13,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102041,5,242,"1,176"
108,2017/3/13,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,9,202,"1,877"
109,2017/3/13,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,5,212,"1,047"
110,2017/3/13,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102012,1,273,226
111,2017/3/13,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102013,3,251,665
112,2017/3/13,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,11,177,"2,025"
113,2017/3/13,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102004,4,86,318
114,2017/3/14,0,0,,ｗH-2901,(株)DX広島センター,,,,ｗH-2901,(株)DX広島センター,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,7,203,"1,330"
115,2017/3/14,0,0,,ｗH-2901,(株)DX広島センター,,,,ｗH-2901,(株)DX広島センター,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,6,213,"1,219"
116,2017/3/14,0,0,,ｗH-2901,(株)DX広島センター,,,,ｗH-2901,(株)DX広島センター,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102041,6,242,"1,343"
117,2017/3/14,0,0,,ｗH-3101,(株)明屋,,,,ｗH-3101,(株)明屋,0,2017/4/10,,0,0,2017/5/10,2017/5/7,,W102013,15,287,"4,389"
118,2017/3/14,0,0,,ｗH-3101,(株)明屋,,,,ｗH-3101,(株)明屋,0,2017/4/10,,0,0,2017/5/10,2017/5/7,,W102033,4,245,"1,061"
119,2017/3/14,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,4,240,960
120,2017/3/14,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,5,202,"1,000"
121,2017/3/14,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102005,8,393,"3,341"
122,2017/3/14,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,11,211,"2,232"
123,2017/3/15,0,0,,ｗH-2901,(株)DX広島センター,,,,ｗH-2901,(株)DX広島センター,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,10,241,"2,292"
124,2017/3/15,0,0,,ｗH-3101,(株)明屋,,,,ｗH-3101,(株)明屋,0,2017/4/10,,0,0,2017/5/10,2017/5/7,,W102012,12,312,"3,847"
125,2017/3/15,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,5,212,"1,087"
126,2017/3/15,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,6,240,"1,527"
127,2017/3/15,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,7,240,"1,643"
128,2017/3/15,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,4,240,841
129,2017/3/15,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102011,3,329,874
130,2017/3/15,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102015,2,336,779
131,2017/3/15,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102005,7,344,"2,537"
132,2017/3/15,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,8,186,"1,515"
133,2017/3/15,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102041,5,212,"1,140"
134,2017/3/15,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,3,211,670
135,2017/3/15,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102005,3,344,"1,079"
136,2017/3/15,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102027,8,204,"1,599"
137,2017/3/15,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,18,211,"3,704"
138,2017/3/15,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,5,177,880
139,2017/3/15,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,8,211,"1,727"
140,2017/3/16,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102011,4,329,"1,313"
141,2017/3/16,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102013,3,251,832
